n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island
1,202,-0.022360932390265494,0.9111511707305908,random_individual,3,14
2,783,0.052876142963394705,0.9084745049476624,random_individual,3,14
3,1838,0.06155451829345956,0.9104186296463013,random_individual,3,14
4,2094,0.05784606204457978,0.9108070135116577,random_individual,3,14
5,2267,0.056991764253989566,0.9125384092330933,random_individual,3,14
6,2385,0.060694994764551376,0.9137688875198364,random_individual,3,14
7,2734,0.1013446907379982,0.9043844938278198,random_individual,3,14
8,3317,0.10976910398498967,0.8957796692848206,random_individual,3,14
9,3468,0.10092806953020232,0.8974120020866394,random_individual,3,14
10,3865,0.10375012192789553,0.8958892822265625,random_individual,3,14
11,4056,0.12849879073313922,0.8881643414497375,random_individual,3,14
12,4216,0.1261663733413363,0.890641450881958,random_individual,3,14
13,4769,0.12827468766235844,0.8853269219398499,random_individual,3,14
14,5055,0.12103155189918349,0.8857069611549377,random_individual,3,14
15,5147,0.12196918017216156,0.8849974274635315,random_individual,3,14
1,202,0.02553982156916495,0.9171414971351624,random_individual,4,14
2,783,0.04393365292965264,0.9202815294265747,random_individual,4,14
3,1838,0.04399055198071391,0.9088365435600281,random_individual,4,14
4,2094,0.0556734254998081,0.909081220626831,random_individual,4,14
5,2267,0.05475267374750995,0.9096049070358276,random_individual,4,14
6,2385,0.05638690361023311,0.9097996950149536,random_individual,4,14
7,2734,0.05869245687995653,0.9056557416915894,random_individual,4,14
8,3317,0.09546881140044242,0.895922064781189,random_individual,4,14
9,3468,0.09569588434315714,0.8964536786079407,random_individual,4,14
10,3865,0.10647810264790529,0.8923314213752747,random_individual,4,14
11,4056,0.10704906125723283,0.8871752619743347,random_individual,4,14
12,4216,0.1005635892058757,0.8881930112838745,random_individual,4,14
13,4769,0.10965061618835886,0.8891708850860596,random_individual,4,14
14,5055,0.12094320922644974,0.8846033811569214,random_individual,4,14
15,5147,0.12196918017216156,0.8849974274635315,random_individual,4,14
