target_island,target_island_name,source_island,source_island_name,phi_mean,phi_std,phi_median,phi_p25,phi_p75,n_individuals,n_repeats
7,Onøy og Lurøy,15,Southern 5,7.213982722484466e-05,0.0010934957597451386,6.673970343593488e-06,-0.00014232343263107498,0.0001947825157313,1010,5
7,Onøy og Lurøy,10,Aldra,5.5319692193541685e-05,0.0014847178470016038,6.455739171495334e-06,-0.000369354195339,0.0004248427394197,865,5
7,Onøy og Lurøy,5,Hestmannøy,1.4347937244666666e-05,0.002122064910655996,3.0546882694346133e-06,-0.000339564903779825,0.0003626986759497,5390,5
7,Onøy og Lurøy,11,Southern 1,1.3671310641254775e-05,0.001073990488138556,-2.13218471708021e-06,-0.00021625915577955002,0.00020125939914625,2915,5
7,Onøy og Lurøy,13,Southern 3,4.869005184227436e-06,0.0011546221798167022,2.3026270966944317e-06,-0.00021396000400625,0.00023336227991714999,2920,5
7,Onøy og Lurøy,3,Selvær,-1.3052082327164677e-05,0.0010446102939168265,4.369307105845845e-06,-0.0002695406118741,0.0002317644108544,970,5
7,Onøy og Lurøy,4,Gjerøy,-1.7509956232029676e-05,0.001717017148802453,2.843154578647256e-06,-0.0003404810312317,0.00031896222905145,2790,5
7,Onøy og Lurøy,12,Southern 2,-1.8362177440565396e-05,0.001219790523817007,-5.161115428212182e-06,-0.000290383653172,0.0002205199817498,1985,5
7,Onøy og Lurøy,14,Southern 4,-2.031178561393687e-05,0.0010774337716483227,-8.863921146581854e-07,-0.00020789426904837502,0.000208163819798525,2430,5
7,Onøy og Lurøy,2,Træna,-3.011108226088397e-05,0.0018920976277879379,2.0415540838147893e-07,-0.000321086214078275,0.00031720432422565,1460,5
7,Onøy og Lurøy,1,Myken,-3.3231487660254904e-05,0.0014537750550487384,2.715257711197357e-07,-0.0002569194153106,0.0002441779614604,460,5
7,Onøy og Lurøy,0,Nesøy,-7.252242811487858e-05,0.00197549015060935,-2.8174665363533973e-08,-0.00030444524118625,0.00027086176612275,595,5
9,Sleneset,6,Indre Kvarøy,0.00021548938536781678,0.003133726582336964,1.7686981549103857e-05,-0.000430324576677425,0.000613243286516375,1780,5
9,Sleneset,0,Nesøy,0.000131606009444312,0.0020487757070552014,8.514229658255768e-06,-0.0003246806005324,0.0005038647729870001,595,5
9,Sleneset,2,Træna,0.0001312629272300598,0.0023713037286755946,2.004486264712297e-06,-0.000444670601174725,0.0005069473484334001,1460,5
9,Sleneset,1,Myken,0.00011454572769223731,0.002268948339716211,1.800334172428114e-05,-0.0003833963289041,0.00048333381001129997,460,5
9,Sleneset,3,Selvær,0.00011024517120834196,0.0021443502189619143,2.2458143587039473e-05,-0.00030643919857385,0.000472847802506725,970,5
9,Sleneset,15,Southern 5,6.995286855080656e-05,0.0014600356062171177,3.1731495637802796e-06,-0.00024073286567254999,0.00030497910956505,1010,5
9,Sleneset,14,Southern 4,2.6654944711733825e-05,0.0015012830062733752,5.550441181649545e-07,-0.00030118271344345003,0.000308762351721175,2430,5
9,Sleneset,11,Southern 1,1.8760720276823506e-05,0.0015420830929395522,-1.2996381241844878e-06,-0.0002952614467911,0.00028439855804675003,2915,5
9,Sleneset,5,Hestmannøy,7.67707751514074e-06,0.0020833229230144503,5.2190594699155765e-06,-0.000416336259990375,0.000433870154831625,5390,5
9,Sleneset,4,Gjerøy,-7.6209417759322205e-06,0.0018078718594159227,-1.0566342234376475e-05,-0.00046042994784535,0.0003979733969213,2790,5
9,Sleneset,13,Southern 3,-1.3329318322115375e-05,0.0015724218506894844,5.412134648583138e-06,-0.0003067225301687,0.00029696085162505,2920,5
9,Sleneset,10,Aldra,-3.349290204943938e-05,0.0020439445203008348,-6.339723564147276e-06,-0.0005630013803462,0.0004102116866784,865,5
9,Sleneset,12,Southern 2,-6.779633101406773e-05,0.0019008896200971685,-4.065976884857423e-06,-0.0004061765795357,0.0003582753438021,1985,5
9,Sleneset,7,Onøy og Lurøy,-7.865104702671358e-05,0.0030478674937793665,-3.900619587463017e-07,-0.0007156744288035,0.0005991092925696001,1295,5
9,Sleneset,8,Lovund,-7.948916368281769e-05,0.00302991048586679,-2.0999238706412425e-05,-0.00068594495044745,0.000617566179093575,790,5
12,Southern 2,8,Lovund,8.571396452765143e-05,0.0013634594938770307,1.4006740588498748e-05,-0.000273148544158,0.000395329068724875,790,5
12,Southern 2,13,Southern 3,7.623429693492682e-05,0.0014526148786658992,5.809791506357354e-07,-0.000281400237167625,0.000316622759826825,2920,5
12,Southern 2,2,Træna,6.970660794938029e-05,0.0017670069390012281,8.777939491092582e-06,-0.00037363145547405,0.00038205157291285,1460,5
12,Southern 2,0,Nesøy,4.3713429810948456e-05,0.001466796123307812,-1.0250516527176428e-06,-0.00032573809352025003,0.00034002765352010003,595,5
12,Southern 2,3,Selvær,2.3798530063023125e-05,0.001438714062622602,-1.140496002778971e-05,-0.00030519864209477504,0.0003034979866786,970,5
12,Southern 2,4,Gjerøy,2.0565120715198668e-05,0.0014770913688409958,6.251292277340646e-06,-0.00030457930562375,0.000349996433940925,2790,5
12,Southern 2,6,Indre Kvarøy,9.346081742816554e-06,0.001630343800812105,-1.708546081308215e-08,-0.00032124436702475,0.000299566679890375,1780,5
12,Southern 2,11,Southern 1,3.802305274882177e-06,0.0013394074178504196,-6.108345834950068e-07,-0.00027947630331095,0.00027875408530429995,2915,5
12,Southern 2,14,Southern 4,-4.355093950164639e-06,0.002140577402577358,-2.2544830403918756e-06,-0.00032644048406545,0.00030144255256375,2430,5
12,Southern 2,5,Hestmannøy,-6.850919786498879e-06,0.0016307445241673679,-6.956376914283614e-07,-0.00034448853347450003,0.00034841015576705,5390,5
12,Southern 2,10,Aldra,-3.3544372689068127e-05,0.0016090897782546209,-4.9199748952256585e-06,-0.0004096769265896,0.0003225214934021,865,5
12,Southern 2,15,Southern 5,-4.157722719158282e-05,0.001136824346760794,-3.563514742992717e-06,-0.000299087935676075,0.000208010681009175,1010,5
12,Southern 2,9,Sleneset,-4.5112810342720325e-05,0.0014271721107223352,9.273095511818651e-06,-0.0002993063569212,0.0003237277488944,830,5
12,Southern 2,7,Onøy og Lurøy,-9.329147289114445e-05,0.0015268394241060275,-6.691557950926808e-06,-0.00041937308657705,0.00033629387896395,1295,5
12,Southern 2,1,Myken,-0.00016787098144600024,0.001645335441792623,-3.1657405417013022e-06,-0.00043817397842495,0.00028474178464104997,460,5
