target_island,target_island_name,repeat,repeat_seed,trait,model,weight_scheme,order_seed,weighted_fit_used,analysis,method,n_individuals,corr_eval,mse_adj
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,1000,0.2125449359312284,1.1448860168457031
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,1500,0.1859074696522141,1.1113386154174805
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,2000,0.1671215245060733,1.1213892698287964
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,2500,0.1560107966674275,1.1305032968521118
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,3000,0.1691361510520091,1.1149452924728394
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,3500,0.1708713669712195,1.1089658737182615
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,4000,0.1538140189933731,1.114524006843567
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,4500,0.2100173203272354,1.109544277191162
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,50,-0.0795660660646824,1.1528918743133545
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,100,-0.0004161639330936,1.1422381401062012
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,250,0.0391167296850235,1.1690627336502075
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,500,0.0965966978055587,1.141144037246704
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,1000,0.1441197426199154,1.1280171871185305
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,1500,0.1216349652711307,1.1432418823242188
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,2000,0.133374246545535,1.1372652053833008
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,2500,0.2165955633743308,1.116886019706726
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,3000,0.2449894641958238,1.1122207641601562
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,3500,0.20645744275039,1.1167038679122925
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,4000,0.1998505473312872,1.1140426397323608
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,4500,0.2269624792311516,1.098781704902649
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,-2,False,full_baseline,full_source_unweighted,5578,0.2263375966341962,1.2945436239242554
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,50,0.0571088054925832,1.3655438423156738
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,100,0.2219596168404061,1.27546226978302
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,250,0.1540730484327565,1.311657428741455
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,500,0.1341851759035557,1.3670121431350708
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,1000,0.138564004742571,1.428608775138855
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,1500,0.1223385986711741,1.4701181650161743
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,2000,0.1148581761179072,1.4838014841079712
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,2500,0.1130243639951753,1.49747896194458
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,3000,0.1087312302428462,1.5006048679351809
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,3500,0.1010132231620613,1.4897217750549316
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,4000,0.1176745320798019,1.4446841478347778
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,4500,0.1332151730829603,1.4023146629333496
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,50,-0.1216077439975264,1.3240094184875488
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,100,-0.1121948267089685,1.316665768623352
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,250,-0.157315927099373,1.334606647491455
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,500,0.0339940982058581,1.313969612121582
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,1000,-0.0616507612095853,1.3337458372116089
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,1500,0.1836332584304451,1.30153489112854
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,2000,0.2255975239247573,1.306651949882507
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,2500,0.2199754273526024,1.323728322982788
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,3000,0.2100086681025121,1.3162516355514526
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,3500,0.2481225004665148,1.2941657304763794
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,4000,0.2526870085184887,1.2863138914108276
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,4500,0.2254343666131253,1.2982522249221802
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,50,-0.1326695917863281,1.328365445137024
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,100,-0.058232362212239,1.314304232597351
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,250,-0.0851414499029527,1.3204981088638306
