repeat,split_seed,source_island,source_island_name,n_island,phi,phi_per_individual,method,weight
2,1198679252,13,Southern 3,584,-0.02858767575184007,-4.895149957506861e-05,shifted_relu,0.9999999999999998
2,1198679252,14,Southern 4,486,-0.012640818652105543,-2.6009914922027867e-05,shifted_relu,0.9999999999999998
2,1198679252,15,Southern 5,202,-0.034872959059478806,-0.00017263841118553863,shifted_relu,0.9999999999999998
3,835124100,0,Nesøy,119,-0.01237955508665034,-0.00010402987467773394,relu,0.9999999999999998
3,835124100,1,Myken,92,0.0024124569247863303,2.6222357878112288e-05,relu,0.9999999999999998
3,835124100,2,Træna,292,0.0643161939817201,0.000220260938293562,relu,0.9999999999999998
3,835124100,3,Selvær,194,-0.02960844424226488,-0.00015262084660961278,relu,0.9999999999999998
3,835124100,5,Hestmannøy,1078,0.08107944718995012,7.5212845259694e-05,relu,0.9999999999999998
3,835124100,6,Indre Kvarøy,356,-0.01903318898237333,-5.3464013995430705e-05,relu,0.9999999999999998
3,835124100,7,Onøy og Lurøy,259,-0.08765776724785208,-0.0003384469777909347,relu,0.9999999999999998
3,835124100,8,Lovund,158,0.07131840794268203,0.00045138232875115207,relu,0.9999999999999998
3,835124100,9,Sleneset,166,-0.003538195884795946,-2.1314433040939434e-05,relu,0.9999999999999998
3,835124100,10,Aldra,173,-0.0938372285103796,-0.0005424117254935237,relu,0.9999999999999998
3,835124100,11,Southern 1,583,0.08001117251920879,0.0001372404331375794,relu,0.9999999999999998
3,835124100,12,Southern 2,397,-0.008426973377831725,-2.1226633193530794e-05,relu,0.9999999999999998
3,835124100,13,Southern 3,584,-0.05764625833223855,-9.870934645931258e-05,relu,0.9999999999999998
3,835124100,14,Southern 4,486,-0.005449345973377209,-1.1212646035755574e-05,relu,0.9999999999999998
3,835124100,15,Southern 5,202,0.029231885237461782,0.0001447123031557514,relu,0.9999999999999998
3,835124100,0,Nesøy,119,-0.01237955508665034,-0.00010402987467773394,softmax,0.9998303087810243
3,835124100,1,Myken,92,0.0024124569247863303,2.6222357878112288e-05,softmax,1.000090802969292
3,835124100,2,Træna,292,0.0643161939817201,0.000220260938293562,softmax,1.0004789906872034
3,835124100,3,Selvær,194,-0.02960844424226488,-0.00015262084660961278,softmax,0.9997331480492939
3,835124100,5,Hestmannøy,1078,0.08107944718995012,7.5212845259694e-05,softmax,1.0001887976417472
3,835124100,6,Indre Kvarøy,356,-0.01903318898237333,-5.3464013995430705e-05,softmax,0.9999314284543408
3,835124100,7,Onøy og Lurøy,259,-0.08765776724785208,-0.0003384469777909347,softmax,0.9993616639987821
3,835124100,8,Lovund,158,0.07131840794268203,0.00045138232875115207,softmax,1.0009415617799435
3,835124100,9,Sleneset,166,-0.003538195884795946,-2.1314433040939434e-05,softmax,0.9999957252742506
3,835124100,10,Aldra,173,-0.0938372285103796,-0.0005424117254935237,softmax,0.9989540780382795
3,835124100,11,Southern 1,583,0.08001117251920879,0.0001372404331375794,softmax,1.0003128839354418
3,835124100,12,Southern 2,397,-0.008426973377831725,-2.1226633193530794e-05,softmax,0.9999959008732101
3,835124100,13,Southern 3,584,-0.05764625833223855,-9.870934645931258e-05,softmax,0.9998409480883738
3,835124100,14,Southern 4,486,-0.005449345973377209,-1.1212646035755574e-05,softmax,1.000015928965989
3,835124100,15,Southern 5,202,0.029231885237461782,0.0001447123031557514,softmax,1.0003278324628277
3,835124100,0,Nesøy,119,-0.01237955508665034,-0.00010402987467773394,minmax,0.832638280813864
3,835124100,1,Myken,92,0.0024124569247863303,2.6222357878112288e-05,minmax,1.0800321790458414
3,835124100,2,Træna,292,0.0643161939817201,0.000220260938293562,minmax,1.4485783442395568
3,835124100,3,Selvær,194,-0.02960844424226488,-0.00015262084660961278,minmax,0.740347271829016
3,835124100,5,Hestmannøy,1078,0.08107944718995012,7.5212845259694e-05,minmax,1.1730820056153595
3,835124100,6,Indre Kvarøy,356,-0.01903318898237333,-5.3464013995430705e-05,minmax,0.928680284441606
3,835124100,7,Onøy og Lurøy,259,-0.08765776724785208,-0.0003384469777909347,minmax,0.38739937923452067
3,835124100,8,Lovund,158,0.07131840794268203,0.00045138232875115207,minmax,1.8875575511839202
3,835124100,9,Sleneset,166,-0.003538195884795946,-2.1314433040939434e-05,minmax,0.989743423266854
3,835124100,10,Aldra,173,-0.0938372285103796,-0.0005424117254935237,minmax,0.09437787755919601
3,835124100,11,Southern 1,583,0.08001117251920879,0.0001372404331375794,minmax,1.2908937809832577
3,835124100,12,Southern 2,397,-0.008426973377831725,-2.1226633193530794e-05,minmax,0.9899101854488789
3,835124100,13,Southern 3,584,-0.05764625833223855,-9.870934645931258e-05,minmax,0.8427437983223193
3,835124100,14,Southern 4,486,-0.005449345973377209,-1.1212646035755574e-05,minmax,1.008930199702721
3,835124100,15,Southern 5,202,0.029231885237461782,0.0001447123031557514,minmax,1.3050854383130903
3,835124100,0,Nesøy,119,-0.01237955508665034,-0.00010402987467773394,rank,0.376706973072288
3,835124100,1,Myken,92,0.0024124569247863303,2.6222357878112288e-05,rank,0.753413946144576
3,835124100,2,Træna,292,0.0643161939817201,0.000220260938293562,rank,2.2602418384337284
