trait,target_island,target_island_name,repeat,repeat_seed,method,weight_scheme,ringnr,ringnumber,source_island,source_island_name,rank,avg_grm,weight
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42249,8N42249,2,Træna,1534,0.001676388295085457,1.1364057869512623
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42256,8N42256,5,Hestmannøy,1138,0.002731031910313188,1.1705279259201447
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42259,8N42259,5,Hestmannøy,142,0.015690112456345114,1.589808468575456
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42262,8N42262,4,Gjerøy,1812,0.0009141785536196016,1.1117451088357286
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42263,8N42263,4,Gjerøy,2151,-2.4713030768452746e-05,1.0813680329622966
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42272,8N42272,5,Hestmannøy,2147,-1.287955299961081e-05,1.081750895539838
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42273,8N42273,5,Hestmannøy,2413,-0.0008536445514121867,1.0545486257856032
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42275,8N42275,5,Hestmannøy,2735,-0.002011432518580007,1.0170893349486037
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42276,8N42276,5,Hestmannøy,2434,-0.0009262648397413935,1.0521990552439047
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42285,8N42285,5,Hestmannøy,628,0.005031946180640582,1.2449721413441794
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42286,8N42286,5,Hestmannøy,2093,0.00012820476565390755,1.086315564265762
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42287,8N42287,5,Hestmannøy,574,0.0053649401845200185,1.2557458923176068
