trait,target_island,target_island_name,repeat,repeat_seed,n_train_size,method,n_components,alpha,ringnr,ringnumber,source_island,source_island_name,rank,pca_dist
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8917944,8917944,8,Lovund,81,12.010965347290039
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8L89722,8L89722,4,Gjerøy,82,12.033767700195312
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8L19656,8L19656,3,Selvær,83,12.044251441955566
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8P14604,8P14604,7,Onøy og Lurøy,84,12.057546615600586
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8L48609,8L48609,6,Indre Kvarøy,85,12.062163352966309
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8681053,8681053,4,Gjerøy,86,12.063526153564453
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8981707,8981707,5,Hestmannøy,87,12.07490062713623
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8800336,8800336,7,Onøy og Lurøy,88,12.110591888427734
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8981733,8981733,5,Hestmannøy,89,12.148967742919922
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8800368,8800368,1,Myken,90,12.162032127380371
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8939163,8939163,6,Indre Kvarøy,91,12.163260459899902
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N72724,8N72724,5,Hestmannøy,92,12.209877014160156
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8L26596,8L26596,6,Indre Kvarøy,93,12.225132942199707
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8800512,8800512,5,Hestmannøy,94,12.228373527526855
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8943597,8943597,8,Lovund,95,12.239523887634277
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8681098,8681098,6,Indre Kvarøy,96,12.260848045349121
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8168644,8168644,5,Hestmannøy,97,12.28337574005127
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N42507,8N42507,5,Hestmannøy,98,12.315051078796387
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8L52932,8L52932,4,Gjerøy,99,12.348472595214844
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N42505,8N42505,5,Hestmannøy,100,12.377580642700195
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N13970,8N13970,5,Hestmannøy,101,12.421320915222168
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8M31954,8M31954,4,Gjerøy,102,12.461389541625977
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8681371,8681371,5,Hestmannøy,103,12.477898597717285
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N28738,8N28738,2,Træna,104,12.479928970336914
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8168771,8168771,5,Hestmannøy,105,12.496526718139648
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8800341,8800341,7,Onøy og Lurøy,106,12.503315925598145
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8981920,8981920,6,Indre Kvarøy,107,12.524092674255371
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8939196,8939196,5,Hestmannøy,108,12.527862548828125
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8747689,8747689,2,Træna,109,12.528603553771973
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N14801,8N14801,2,Træna,110,12.544242858886719
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N27333,8N27333,4,Gjerøy,111,12.58103084564209
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8939052,8939052,5,Hestmannøy,112,12.599270820617676
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8943737,8943737,5,Hestmannøy,113,12.62199592590332
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8887233,8887233,5,Hestmannøy,114,12.629364013671875
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8P11964,8P11964,5,Hestmannøy,115,12.66462516784668
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N28375,8N28375,8,Lovund,116,12.685012817382812
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N42931,8N42931,5,Hestmannøy,117,12.703289985656738
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N42522,8N42522,5,Hestmannøy,118,12.706430435180664
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8730451,8730451,1,Myken,119,12.716523170471191
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8981310,8981310,3,Selvær,120,12.730120658874512
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8800059,8800059,4,Gjerøy,121,12.755882263183594
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8P11581,8P11581,5,Hestmannøy,122,12.780917167663574
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N87066,8N87066,5,Hestmannøy,123,12.79454517364502
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8L89379,8L89379,5,Hestmannøy,124,12.794759750366211
