n_permutations,cal_fraction,method,n_removed,corr_mean,corr_std,mse_mean,mse_std,n_rows
10,0.25,shapley_mean,10,0.2716483510255731,0.05134386395271362,0.9465074002742767,0.0736143444580006,10
10,0.25,shapley_mean,11,0.2461061272912032,0.05585938541772973,0.9565029442310333,0.07349956907840328,10
10,0.25,shapley_mean,12,0.23482301334123604,0.05773672739190161,0.9647126495838165,0.07706196790427629,10
10,0.25,shapley_mean,13,0.19840919334562382,0.06055184479802786,0.9813669979572296,0.08342362626463316,10
10,0.25,shapley_mean,14,0.1515176468965896,0.08553642971705529,0.997151130437851,0.08243686838955272,10
25,0.05,random_individual,0,0.3753274496389972,0.016147234225490366,0.8837290704250336,0.018572225749600674,50
25,0.05,random_individual,1,0.36855699609313936,0.02396894376380547,0.8884871709346771,0.01857189843738447,50
25,0.05,random_individual,2,0.36539409470200745,0.026515086409394546,0.8913538563251495,0.019967233798941005,50
25,0.05,random_individual,3,0.35695302323976835,0.03363898116249313,0.8962101006507873,0.02236688209505433,50
25,0.05,random_individual,4,0.3512109962868433,0.034672642635831,0.9002637362480164,0.022672413074291863,50
25,0.05,random_individual,5,0.34337841350249393,0.03747373107490059,0.9053152167797088,0.0220818479643346,50
25,0.05,random_individual,6,0.32426839681913094,0.043721255031752476,0.9167901134490967,0.02319470185293005,50
25,0.05,random_individual,7,0.30175865246472344,0.055148245549263133,0.9287048661708832,0.026876974540794994,50
25,0.05,random_individual,8,0.28633335352212436,0.058927003467982984,0.9377738857269287,0.027663694455738738,50
25,0.05,random_individual,9,0.2601411504500446,0.058197508438323116,0.9507738077640533,0.02476529781530344,50
25,0.05,random_individual,10,0.24054915298858512,0.06648454375858553,0.9596786141395569,0.02431480218831266,50
25,0.05,random_individual,11,0.20803586026848536,0.07234106542812728,0.9718619608879089,0.024760901193679064,50
25,0.05,random_individual,12,0.19560196669565358,0.07205288838539926,0.9776873910427093,0.024592820383741217,50
25,0.05,random_individual,13,0.1552820091025703,0.07750769891948957,0.9895048642158508,0.019976200330966372,50
25,0.05,random_individual,14,0.09110168333550327,0.08966304869259652,1.0046271502971649,0.02198961590189448,50
25,0.05,shapley_mean,0,0.3753274496389972,0.016849612909176876,0.8837290704250336,0.01938008765913692,10
25,0.05,shapley_mean,1,0.3614592071745904,0.02654105609072249,0.8926426351070404,0.019665193910403018,10
25,0.05,shapley_mean,2,0.34871749214524905,0.021003653233630973,0.9003735184669495,0.01753035983580684,10
25,0.05,shapley_mean,3,0.33893974944693606,0.025174356336087434,0.90620858669281,0.0174166609608315,10
25,0.05,shapley_mean,4,0.333354633195154,0.02983891851579256,0.9101792633533478,0.023929827415271797,10
25,0.05,shapley_mean,5,0.31141800810372755,0.04413048944889444,0.9211711943149566,0.026752618541334764,10
25,0.05,shapley_mean,6,0.2966589850685427,0.04366715639837083,0.9282675564289093,0.02470381700900521,10
25,0.05,shapley_mean,7,0.29109317621339914,0.0527201139904811,0.9318177580833436,0.028012132743306634,10
25,0.05,shapley_mean,8,0.28545755466015416,0.05300173171729125,0.9348685622215271,0.029109957386816203,10
25,0.05,shapley_mean,9,0.2767671903726917,0.049838665719862445,0.9410596132278443,0.02732841335895872,10
25,0.05,shapley_mean,10,0.25738048321338247,0.04074510267692671,0.9487810671329499,0.02483259055983021,10
25,0.05,shapley_mean,11,0.24212887926727006,0.02432224284275935,0.9571862280368805,0.018660238661208146,10
25,0.05,shapley_mean,12,0.20869522610970517,0.060691630091973946,0.9683463454246521,0.02046526343243674,10
25,0.05,shapley_mean,13,0.16737543342040756,0.07890901531275124,0.981365567445755,0.021704663974629806,10
25,0.05,shapley_mean,14,0.11201228239700078,0.08904301897305195,0.9980353951454163,0.022415057123193725,10
25,0.1,random_individual,0,0.35462977881097707,0.04477123599871401,0.8829595923423768,0.019783252865579217,50
25,0.1,random_individual,1,0.3515932765462146,0.04652954851582657,0.8851567816734314,0.02037221523151507,50
25,0.1,random_individual,2,0.3497366519803119,0.047859478058801176,0.8868340647220612,0.02026544803437825,50
25,0.1,random_individual,3,0.34277296694535286,0.05291818274404154,0.8904677569866181,0.019974628215679337,50
25,0.1,random_individual,4,0.33164117793972997,0.057497540837698716,0.897138990163803,0.022339030884424134,50
25,0.1,random_individual,5,0.3210553541301644,0.06341325287762124,0.9027532351016998,0.023874947141923036,50
25,0.1,random_individual,6,0.3060746474735798,0.06648882128935278,0.9110589456558228,0.024649948372028878,50
25,0.1,random_individual,7,0.29262603252813824,0.07135046764995091,0.9189516425132751,0.026736281215811383,50
25,0.1,random_individual,8,0.2803422528302015,0.07785364091374959,0.9263176989555358,0.026854450634995683,50
25,0.1,random_individual,9,0.26011357643904653,0.07914005080175511,0.9354055738449096,0.023883130301869494,50
25,0.1,random_individual,10,0.2373944398591371,0.08288344944810683,0.9443272829055787,0.02216649153206596,50
25,0.1,random_individual,11,0.20360682866894106,0.0820587267378042,0.9593956530094147,0.026579545902278515,50
25,0.1,random_individual,12,0.17003863344314396,0.09206012154287647,0.9720870339870453,0.02396092094386581,50
25,0.1,random_individual,13,0.14221110960668415,0.07817508274706396,0.981359394788742,0.023097784048094556,50
25,0.1,random_individual,14,0.10287432639858314,0.08252356996804251,0.9937327003479004,0.02465469141023342,50
25,0.1,shapley_mean,0,0.354629778810977,0.04671871266057811,0.8829595923423768,0.020643792504301234,10
25,0.1,shapley_mean,1,0.3447875298330648,0.04547561661673966,0.8897765040397644,0.01803647759765971,10
25,0.1,shapley_mean,2,0.3390764126333359,0.037636669417777,0.893823117017746,0.022471917348620935,10
25,0.1,shapley_mean,3,0.33113842301385993,0.04272863349573634,0.8988950788974762,0.027849128014278423,10
25,0.1,shapley_mean,4,0.3201095435182367,0.04895572975125367,0.9044613122940064,0.02518912827766379,10
25,0.1,shapley_mean,5,0.31739474285642105,0.04240367872421981,0.907483720779419,0.027735868389520475,10
