target_island,n_cal_samples,permutation_index,source_island,source_island_name,rank_mean,rank_std,phi_per_ind_mean,n_repeats
5,10.0,22,9,Sleneset,9.3,4.738729318662921,-2.4558873595411486e-05,10
5,10.0,22,11,Southern 1,9.3,2.3118054512532935,-2.728707832859133e-06,10
5,10.0,22,1,Myken,9.6,5.125101625008686,-0.0002067074058652689,10
5,10.0,22,3,Selvær,9.6,3.9214509786273974,-5.0844726017004955e-05,10
5,10.0,22,15,Southern 5,10.0,4.853406592853679,-0.00010889202680548788,10
5,10.0,23,6,Indre Kvarøy,4.4,4.168666186896929,0.0003806553756048782,10
5,10.0,23,0,Nesøy,5.7,6.019413038937712,0.00022110294329029463,10
5,10.0,23,8,Lovund,7.2,5.633234713140696,0.00018909412741392701,10
5,10.0,23,14,Southern 4,7.3,3.4657049948186747,0.0001339751770252389,10
5,10.0,23,12,Southern 2,7.6,3.062315754094895,8.271645693908294e-05,10
5,10.0,23,7,Onøy og Lurøy,7.7,4.137900702315393,0.0001329738400318569,10
5,10.0,23,2,Træna,7.8,5.050852513300216,9.998557007844853e-05,10
5,10.0,23,10,Aldra,8.1,4.175324338699131,4.166925687318834e-05,10
5,10.0,23,13,Southern 3,8.1,2.6012817353502227,1.598141947048421e-05,10
5,10.0,23,4,Gjerøy,8.4,3.0983866769659336,2.2114115936452518e-05,10
5,10.0,23,11,Southern 1,9.2,2.2997584414213788,2.921471407007906e-08,10
5,10.0,23,9,Sleneset,9.3,4.738729318662921,-2.4165189207030008e-05,10
5,10.0,23,1,Myken,9.5,5.1693541397569405,-0.00021953155920537287,10
5,10.0,23,3,Selvær,9.7,3.8600518131237567,-5.551715675048033e-05,10
5,10.0,23,15,Southern 5,10.0,4.784233364802441,-0.00013365744924658397,10
5,10.0,24,6,Indre Kvarøy,4.4,4.141926551202418,0.0003827368684952902,10
5,10.0,24,0,Nesøy,5.7,6.019413038937712,0.0001966721828440249,10
5,10.0,24,8,Lovund,7.1,5.566766466171263,0.00018361980605504383,10
5,10.0,24,14,Southern 4,7.3,3.4657049948186747,0.00013448174000466956,10
5,10.0,24,12,Southern 2,7.6,3.062315754094895,7.974936410776323e-05,10
5,10.0,24,7,Onøy og Lurøy,7.7,4.137900702315393,0.00013327199846503037,10
5,10.0,24,2,Træna,7.8,5.050852513300216,0.00010005204713029853,10
5,10.0,24,10,Aldra,8.1,4.175324338699131,3.992770603908188e-05,10
5,10.0,24,13,Southern 3,8.2,2.5298221281347035,1.749388906408937e-05,10
5,10.0,24,4,Gjerøy,8.4,3.062315754094894,2.5071973866289207e-05,10
5,10.0,24,11,Southern 1,9.2,2.2997584414213788,2.160286121861098e-06,10
5,10.0,24,9,Sleneset,9.3,4.522781838156197,-2.6263661205430905e-05,10
5,10.0,24,1,Myken,9.5,5.1693541397569405,-0.00021231569787323427,10
