n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,target_island
9,6,1295,0.03847438097000122,1.5718567371368408,random_individual,1,5
10,5,1122,0.05398845300078392,1.5599284172058105,random_individual,1,5
11,4,964,0.02704457752406597,1.5632262229919434,random_individual,1,5
12,3,608,0.0011898381635546684,1.5662586688995361,random_individual,1,5
13,2,211,0.0679764598608017,1.5607304573059082,random_individual,1,5
14,1,92,0.09659591317176819,1.5434852838516235,random_individual,1,5
0,15,4619,0.14660470187664032,1.513421654701233,random_individual,2,5
1,14,4360,0.17436200380325317,1.5057631731033325,random_individual,2,5
2,13,4158,0.1208420991897583,1.5458205938339233,random_individual,2,5
3,12,3574,0.11737209558486938,1.5367326736450195,random_individual,2,5
4,11,3016,0.1165308952331543,1.5383799076080322,random_individual,2,5
5,10,2433,0.09671647846698761,1.544235110282898,random_individual,2,5
6,9,2267,0.09924241155385971,1.5352009534835815,random_individual,2,5
7,8,2073,0.10844611376523972,1.555558443069458,random_individual,2,5
8,7,1587,0.13886772096157074,1.525461196899414,random_individual,2,5
9,6,1295,0.06116866320371628,1.5511749982833862,random_individual,2,5
10,5,1122,0.08952300250530243,1.5549005270004272,random_individual,2,5
11,4,964,0.08492113649845123,1.5469449758529663,random_individual,2,5
12,3,608,0.05296638235449791,1.5614591836929321,random_individual,2,5
13,2,211,0.005182337947189808,1.5743390321731567,random_individual,2,5
14,1,92,-0.026110678911209106,1.5780726671218872,random_individual,2,5
0,15,4619,0.13505549728870392,1.5291435718536377,random_individual,3,5
1,14,4360,0.1739698350429535,1.523311734199524,random_individual,3,5
2,13,4158,0.17193107306957245,1.5061808824539185,random_individual,3,5
3,12,3574,0.13955378532409668,1.5751235485076904,random_individual,3,5
4,11,3016,0.13477249443531036,1.5456650257110596,random_individual,3,5
5,10,2433,0.14719732105731964,1.5202945470809937,random_individual,3,5
6,9,2267,0.07705725729465485,1.5555915832519531,random_individual,3,5
7,8,2073,0.07433155179023743,1.5601502656936646,random_individual,3,5
8,7,1587,0.08868660777807236,1.5566202402114868,random_individual,3,5
9,6,1295,0.09467557072639465,1.5775388479232788,random_individual,3,5
10,5,1122,0.07956044375896454,1.5959699153900146,random_individual,3,5
11,4,964,0.10214588046073914,1.5593597888946533,random_individual,3,5
12,3,608,0.036171603947877884,1.5611494779586792,random_individual,3,5
13,2,211,0.021598180755972862,1.5645196437835693,random_individual,3,5
14,1,92,0.02783356048166752,1.5625280141830444,random_individual,3,5
0,15,4619,0.16079029440879822,1.5116392374038696,random_individual,4,5
1,14,4360,0.14348448812961578,1.5192501544952393,random_individual,4,5
2,13,4158,0.12875360250473022,1.5274158716201782,random_individual,4,5
3,12,3574,0.13763178884983063,1.5259003639221191,random_individual,4,5
4,11,3016,0.08563271909952164,1.5777244567871094,random_individual,4,5
5,10,2433,0.11685072630643845,1.5640383958816528,random_individual,4,5
6,9,2267,0.04424302279949188,1.5599108934402466,random_individual,4,5
7,8,2073,0.10545250028371811,1.5362097024917603,random_individual,4,5
8,7,1587,0.08190733194351196,1.5573235750198364,random_individual,4,5
9,6,1295,0.11484836041927338,1.552506446838379,random_individual,4,5
10,5,1122,0.06614018231630325,1.5892122983932495,random_individual,4,5
11,4,964,0.03854783996939659,1.568260908126831,random_individual,4,5
12,3,608,0.04549281299114227,1.5755159854888916,random_individual,4,5
13,2,211,0.03428853675723076,1.5762709379196167,random_individual,4,5
14,1,92,0.03168460354208946,1.5622261762619019,random_individual,4,5
