ringnr,island,score,rank
8L89739,10,-0.0009825007855397416,106
8730981,6,-0.000978966028924333,107
8N14668,13,-0.0009701272247184534,108
8N05168,12,-0.0009669161627243739,109
8L89335,6,-0.0009645212594477925,110
8816427,1,-0.0009643106459407136,111
8L48764,11,-0.0009636493305151816,112
8L19928,10,-0.0009636228023737203,113
8N42733,4,-0.0009602973077562638,114
8747879,1,-0.0009591006710252259,115
8730932,3,-0.0009517489452264272,116
8651799,2,-0.0009514427183603402,117
8N14590,11,-0.000950493353229831,118
8M71502,4,-0.0009452582826270373,119
8L19926,10,-0.0009315268634964013,120
8857401,4,-0.0009179200833386858,121
8N14803,9,-0.0009177463889500359,122
8N14002,6,-0.0009111056169786025,123
8N28250,7,-0.000907688827282982,124
8N87962,13,-0.0009042062015396368,125
8P14852,14,-0.0008958721282397164,126
8857104,7,-0.0008939345107137342,127
8681240,3,-0.0008916032493289094,128
8P14811,15,-0.0008855577289068606,129
8N13663,13,-0.000882004585150753,130
8N05878,11,-0.0008810501030893647,131
8800027,4,-0.0008777043512964156,132
8P11834,15,-0.0008744791339267977,133
8651884,0,-0.000874199153599875,134
8M31197,8,-0.0008732232672628015,135
8681017,4,-0.0008613571521891572,136
8L19930,10,-0.0008566977812733967,137
8M31838,1,-0.0008566369142499752,138
8N05264,13,-0.0008562049260945059,139
8L19610,9,-0.0008554189098504139,140
8M71372,12,-0.0008394959586439654,141
8P26743,7,-0.0008383830136153847,142
8598602,6,-0.0008371609474124853,143
8N73950,12,-0.0008339279702340718,144
8N05253,13,-0.0008247718033089768,145
8L64560,12,-0.000824482800453552,146
8M31282,10,-0.0008146024156303611,147
8939460,3,-0.0008106452951324172,148
8P11385,14,-0.0008101089930505623,149
8L52229,9,-0.0007987799563125009,150
8M31637,10,-0.0007982991164681152,151
8N87243,2,-0.0007945005236251745,152
8N05895,11,-0.0007908332572696963,153
8732256,1,-0.0007891886916695512,154
8917946,8,-0.0007889168564361171,155
8L30762,12,-0.0007887931606092025,156
8651576,0,-0.0007885135692049516,157
8P14976,14,-0.0007849539324524812,158
8L30667,13,-0.0007846480584703386,159
8L89724,4,-0.000783436376877944,160
8L30761,10,-0.0007831419679860119,161
8M72292,2,-0.0007821956569387112,162
8L89682,6,-0.0007804532942827791,163
8M72643,4,-0.0007802942345733754,164
8730547,3,-0.0007760159132885747,165
8794306,4,-0.0007757441399007803,166
8943014,10,-0.0007743214591755532,167
8887495,7,-0.0007701822178205475,168
8P14652,2,-0.0007685873174523294,169
8N73628,13,-0.0007668693251616787,170
8N73241,12,-0.0007645056075489265,171
8904640,7,-0.0007506117681259639,172
8L57927,3,-0.0007506073725380702,173
8L52603,9,-0.0007447436892107362,174
8943345,11,-0.000743552856874885,175
8N72496,2,-0.0007434746585204266,176
8N87564,11,-0.0007427562632074114,177
8M72009,6,-0.0007403913950838614,178
8747590,2,-0.0007382956482615555,179
8N73658,13,-0.0007382480707747163,180
8943704,11,-0.0007367285743384855,181
8M31216,11,-0.0007350026335188886,182
8N13064,14,-0.000731462292606011,183
8N27095,2,-0.0007313668284041341,184
8N28644,8,-0.000727797819308762,185
8730448,1,-0.0007268131830642233,186
8N05194,13,-0.0007240205068228533,187
8N28358,2,-0.0007225501340144547,188
8800497,4,-0.0007206585887615802,189
8N72957,13,-0.00072033732158161,190
8168602,10,-0.0007171633751568152,191
8N14604,13,-0.0007153117676352849,192
8981704,0,-0.0007133096460165689,193
8N05881,11,-0.0007121667731553316,194
8N42249,2,-0.0007087826767246952,195
8887272,7,-0.0007070087158353999,196
8N05445,6,-0.0007043118566798512,197
8N73657,13,-0.0007041034768917598,198
8N06394,4,-0.0007026580369711155,199
8N05170,12,-0.0007009409719103132,200
8800051,7,-0.0006969013625166554,201
8981029,0,-0.0006956446668482386,202
8939093,10,-0.0006944586748431902,203
8N73681,13,-0.000693382919052965,204
8N05567,3,-0.0006894816133353743,205
8747410,0,-0.0006859881370928633,206
8M31420,10,-0.0006850420668342849,207
8M31944,6,-0.0006846334999863757,208
8N05297,13,-0.0006830184138379991,209
8N05242,13,-0.0006829846440723486,210
8L89486,11,-0.0006802607249483117,211
8N87918,13,-0.0006800091214245185,212
8N06999,6,-0.0006753771740477532,213
8M31716,6,-0.0006745941291228519,214
